module,type,name,res_id,src,value,comments
academy,model_terms,"ir.ui.view,arch_db",academy.academy_session_kanban_view,"<br/>
                                Start date:",,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_session_kanban_view,"<br/>
                                duration:",,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_session_kanban_view,"<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>",,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_major__degreeType__a/a,A/A,,
academy,model,"ir.ui.menu,name",academy.academy_menu_root,Academy,,
academy,model,"ir.model,name",academy.model_academy_session,Academy Sessions,,
academy,model,"ir.model,name",academy.model_academy_course,Academy courses,,
academy,model,"ir.actions.act_window,name",academy.action_academy_academy,Academy.Academy,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_needaction,Action Needed,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_needaction,Action Needed,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_needaction,Action Needed,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_needaction,Action Needed,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__active,Active,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_ids,Activities,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_ids,Activities,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_ids,Activities,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_ids,Activities,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_exception_decoration,Activity Exception Decoration,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_exception_decoration,Activity Exception Decoration,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_exception_decoration,Activity Exception Decoration,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_exception_decoration,Activity Exception Decoration,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_state,Activity State,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_state,Activity State,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_state,Activity State,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_state,Activity State,,
academy,model,"ir.actions.act_window,name",academy.launch_session_wizard,Add Attendees,,
academy,model_terms,"ir.ui.view,arch_db",academy.wizard_form_view,Add Attendees,,
academy,model_terms,"ir.actions.act_window,help",academy.action_academy_major,Add a Major!,,
academy,model_terms,"ir.actions.act_window,help",academy.action_academy_course,Add your Course!,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__age,Age,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__allergy,Allergies,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_attachment_count,Attachment Count,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_attachment_count,Attachment Count,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_attachment_count,Attachment Count,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_attachment_count,Attachment Count,,
academy,model,"ir.model.fields,field_description",academy.field_res_partner__session_ids,Attended Sessions,,
academy,model,"ir.model.fields,field_description",academy.field_res_users__session_ids,Attended Sessions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__attendee_ids,Attendees,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__attendee_ids,Attendees,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__attendees_count,Attendees count,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_major__degreeType__b/s,B/S,,
academy,model_terms,"ir.ui.view,arch_db",academy.wizard_form_view,Cancel,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__color,Color,,
academy,model,"ir.ui.menu,name",academy.academy_menu_config,Configuration,,
academy,model,"ir.model,name",academy.model_res_partner,Contact,,
academy,model,"ir.actions.act_window,name",academy.action_contact_cat_list,Contact Tags,,
academy,model,"ir.ui.menu,name",academy.contact_cat_menu,Contact Tags,,
academy,model,"ir.actions.act_window,name",academy.action_contact_list,Contacts,,
academy,model,"ir.ui.menu,name",academy.contact_menu,Contacts,,
academy,model,"ir.actions.act_window,name",academy.action_academy_course,Course,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__name,Course,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__course_id,Course,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_form_view,Course Form,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_list_view,Course Tree,,
academy,model,"ir.ui.menu,name",academy.academy_menu_course,Courses,,
academy,model_terms,"ir.actions.act_window,help",academy.action_school_student,Create your First Student!,,
academy,model_terms,"ir.actions.act_window,help",academy.action_academy_session,Create your Session!,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__create_uid,Created by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__create_uid,Created by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__create_uid,Created by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__create_uid,Created by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__create_uid,Created by,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__create_uid,Created by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__create_date,Created on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__create_date,Created on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__create_date,Created on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__create_date,Created on,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__create_date,Created on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__create_date,Creation Date,,
academy,model,"ir.model.fields.selection,name",academy.selection__school_student__guardian__dad,Dad,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__create_date,Date on which the task report is created.,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__day,Day,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__degreeType,Degree Type,,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_session_kanban_view,Delete,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__description,Description,,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_form,Description,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_form_view,Description,,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_form,Descriptions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__display_name,Display Name,,
academy,model,"ir.model.fields,help",academy.field_academy_session__duration,Duration in days,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__end_date,End Date,,
academy,model,"ir.model.fields.selection,name",academy.selection__school_student__gender__female,Female,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_partner_ids,Followers (Partners),,
